iter	Logloss
0	0.6855239499
1	0.678388054
2	0.6716254488
3	0.6649780381
4	0.6579832776
5	0.6513229771
6	0.6448601131
7	0.6391237885
8	0.6331952569
9	0.6274482219
10	0.6225944258
11	0.6175361511
12	0.6121646851
13	0.6065165771
14	0.6015518055
15	0.5969917938
16	0.5923808245
17	0.5877996586
18	0.5835989954
19	0.579485286
20	0.5754748349
21	0.5714931297
22	0.5674151696
23	0.5634321537
24	0.5597185981
25	0.5560223046
26	0.5526472154
27	0.5492425737
28	0.5455780928
29	0.5419160371
30	0.5385274017
31	0.5355028109
32	0.5326674498
33	0.5296662176
34	0.5267650766
35	0.5243307247
36	0.5215558745
37	0.5186552944
38	0.5163504467
39	0.5137603409
40	0.5118020279
41	0.5090872968
42	0.5068350855
43	0.5044295976
44	0.502176651
45	0.500254031
46	0.4979786999
47	0.4957309609
48	0.4936684791
49	0.4918289789
50	0.4903932862
51	0.4884664174
52	0.4867640283
53	0.4850349053
54	0.4834694084
55	0.4819543176
56	0.4801512013
57	0.4784910747
58	0.4766919809
59	0.4750694073
60	0.4735816504
61	0.4720070979
62	0.4706301632
63	0.4693381086
64	0.467888465
65	0.4664975218
66	0.4653552289
67	0.4641012814
68	0.4630075292
69	0.4618861886
70	0.4607036796
71	0.45958177
72	0.4585004469
73	0.4575609636
74	0.456455111
75	0.4555271883
76	0.4543779455
77	0.4532914472
78	0.4524303392
79	0.4515624801
80	0.4507854952
81	0.4497826195
82	0.448959319
83	0.4481189547
84	0.4470767767
85	0.446195489
86	0.4453124441
87	0.4444813771
88	0.4438195071
89	0.4430084166
90	0.442101121
91	0.4413785047
92	0.4405335389
93	0.4396810475
94	0.4390845838
95	0.4382579594
96	0.4374682645
97	0.4367991173
98	0.436075881
99	0.4355641313
100	0.4349892434
101	0.4342736106
102	0.4336022706
103	0.4329433829
104	0.432495533
105	0.4317513104
106	0.4311402485
107	0.4305912965
108	0.4300935013
109	0.4295751206
110	0.4290210439
111	0.4283927042
112	0.427769304
113	0.4271830731
114	0.4266269689
115	0.4260907519
116	0.425585344
117	0.425130188
118	0.4245870786
119	0.424150062
120	0.4237324473
121	0.4231675833
122	0.4229709144
123	0.4225577876
124	0.4221477213
125	0.4216735059
126	0.4212743467
127	0.4208521322
128	0.4203975891
129	0.4200614908
130	0.4196516664
131	0.4192924703
132	0.4189119605
133	0.4184595951
134	0.4179617565
135	0.4175326689
136	0.4170750975
137	0.4167254649
138	0.4163679962
139	0.4160643744
140	0.415628855
141	0.415267066
142	0.4149783677
143	0.4147555531
144	0.4144231465
145	0.4141016182
146	0.4137576947
147	0.4134336501
148	0.4130909491
149	0.4128219547
150	0.4124288459
151	0.4121456228
152	0.411890765
153	0.4115517909
154	0.4113857851
155	0.4110455221
156	0.4107310861
157	0.410444894
158	0.4102028392
159	0.4099327938
160	0.4095923633
161	0.4093343503
162	0.4090611654
163	0.4087752327
164	0.4085065224
165	0.4082003901
166	0.4079530731
167	0.4077225006
168	0.4074507255
169	0.4072252385
170	0.4069910398
171	0.406729162
172	0.4065005499
173	0.4062758902
174	0.4060663755
175	0.4058188471
176	0.4056016751
177	0.4053446876
178	0.4051240497
179	0.4048656306
180	0.4045382924
181	0.404288236
182	0.4041017342
183	0.4038684138
184	0.4036487626
185	0.4034409046
186	0.403266927
187	0.4030626992
188	0.4028613314
189	0.4026165782
190	0.4024158001
191	0.4021851818
192	0.4019521904
193	0.4017080949
194	0.4014355187
195	0.4012202249
196	0.401028695
197	0.4008130098
198	0.4006250796
199	0.4004287869
